iter	RMSE
0	0.1200990296
1	0.1118063258
2	0.1045740422
3	0.09820416382
4	0.09251679148
5	0.08745198052
6	0.08303831263
7	0.07907081064
8	0.07531578761
9	0.07198033085
10	0.06903471685
11	0.06648170089
12	0.06396440538
13	0.06169712838
14	0.05979006258
15	0.05807222392
16	0.05634618276
17	0.05479290401
18	0.05351988774
19	0.0522689219
20	0.05116127586
21	0.05019518109
22	0.04916667702
23	0.04833836969
24	0.04745102958
25	0.04659400591
26	0.04590804867
27	0.04529684929
28	0.04454297926
29	0.04395475251
30	0.04337604741
31	0.04277502177
32	0.04222788686
33	0.04182849236
34	0.04142942416
35	0.04087981687
36	0.0404915973
37	0.04018639622
38	0.03980962629
39	0.03946738478
40	0.03914643854
41	0.03882953375
42	0.03852112314
43	0.03825068565
44	0.03799510561
45	0.03780503271
46	0.03749798884
47	0.0372805292
48	0.03711726756
49	0.03683357965
50	0.03664681357
51	0.03647321215
52	0.03627849829
53	0.03609495015
54	0.03595032623
55	0.03580966996
56	0.03565867457
57	0.03552346018
58	0.03535814777
59	0.03524505173
60	0.03513958019
61	0.03499715712
62	0.03483227534
63	0.03472300578
64	0.03458430458
65	0.03447538624
66	0.03432615262
67	0.03422288222
68	0.03413020338
69	0.03398020754
70	0.03386058026
71	0.03372348642
72	0.03360528568
73	0.03349463878
74	0.03341981284
75	0.03333469285
76	0.03320271157
77	0.0330686771
78	0.0329919097
79	0.03293469989
80	0.03286741077
81	0.03273193623
82	0.03262441656
83	0.0325626231
84	0.03244717565
85	0.03236463831
86	0.03228296966
87	0.03217894605
88	0.03212994081
89	0.03205981539
90	0.03200545235
91	0.03195084461
92	0.03184317241
93	0.03176942968
94	0.03169412825
95	0.03161772539
96	0.03154034187
97	0.03146776088
98	0.03135270059
99	0.03127699317
100	0.03119932235
101	0.0311418548
102	0.03107485682
103	0.03100412481
104	0.03093606759
105	0.03088576998
106	0.03082635149
107	0.03075907097
108	0.03069249606
109	0.03062710645
110	0.03058034446
111	0.03052164933
112	0.03046409169
113	0.03040124219
114	0.03034381404
115	0.03028473692
116	0.0302388614
117	0.03015067985
118	0.0300872498
119	0.03004902342
120	0.02997896855
121	0.02989753439
122	0.02983161385
123	0.02975556448
124	0.02969079008
125	0.02964165416
126	0.02957865458
127	0.02952946851
128	0.02946854776
129	0.02941460078
130	0.02936535829
131	0.029284941
132	0.02921817535
133	0.02917524647
134	0.02911358275
