licence_numbers,business_name,name_of_license,premise_address
CE11N90C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"712 ANG MO KIO AVENUE 6 #01-4056, S(560712)"
CE11P32L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 SELETAR ROAD #01-11, GREENWICH, THE S(807011)"
CE12096L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"1 JALAN BERSEH #B1-03/22, NEW WORLD CENTRE S(209037)"
CE12546B000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"301 GEYLANG ROAD, BCH@301 S(389344) #01-02, #02-01/02/03/04/05"
CE12695A000,HAO MART,HAO MART PTE. LTD.,"74 WHAMPOA DRIVE #01-332,#01-336,#01-334, S(320074)"
CE12H50C000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"100 TRAS STREET #B1-01, 100 AM S(079027)"
CE12H94B000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"542B SERANGOON NORTH AVENUE 3 #02-01, MUTLI STOREY CAR PARK S(552542)"
CE12J32X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"2 ANG MO KIO DRIVE #01-12, ITE COLLEGE CENTRAL S(567720)"
CE12V01C000,HAO MART,HAO MART PTE. LTD.,"16 JALAN KURAS, SEMBAWANG HILLS ESTATE S(577729)"
CE13539N000,SuperNature,CULINA PTE. LTD.,"583 ORCHARD ROAD, FORUM S(238884) #B1-05/06/07/08/09"
CE13O90C000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"20 AH HOOD ROAD #02-01, S(329984)"
CE13R25C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"447A JALAN KAYU #01-02, S(791447)"
CE13S05E000,LABIBA ENTERPRISE,HAMINI PTE. LTD.,"249 JALAN KAYU, S(799473)"
CE13Z03L000,GIANT HYPERFRESH,COLD STORAGE SINGAPORE (1983) PTE LTD,"3 TEMASEK BOULEVARD #B1-154,#B1-155,#B1-156, SUNTEC CITY MALL S(038983)"
