licence_numbers,business_name,name_of_license,premise_address
NE15006K000,SFERM,SFERM PTE. LTD.,"78 SERANGOON GARDEN WAY #01-01, SERANGOON GARDEN ESTATE S(555974)"
NE15211C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"312A SUMANG LINK #01-04, PUNGGOL PARCVISTA S(821312)"
NE15276N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"527D PASIR RIS STREET 51 #01-01, COSTA RIS S(514527)"
NE15440C000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"261 PUNGGOL WAY #01-02, PUNGGOL TOPAZ S(820261) MULTI STOREY CAR PARK"
NE15467C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"476 UPPER SERANGOON VIEW #02-18, PUNGGOL TOPAZ S(530476) MULTI STOREY CAR PARK"
NE15476B000,HAO MART,HAO MART PTE. LTD.,"308C PUNGGOL WALK #01-352, WATERWAY TERRACES I S(823308)"
NE15611B000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"671 EDGEFIELD PLAINS #02-01, S(820671)"
NE15760A000,RAW MARKET,RAW MARKET PTE. LTD.,"11 PASIR RIS LINK #01-48, SEASTRAND S(518180)"
NE15762X000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"83 PUNGGOL CENTRAL #B2-32, WATERWAY POINT S(828761)"
NE16139A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"259 PASIR RIS STREET 21 #01-27, S(510259)"
NE16363K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 SENGKANG SQUARE #B1-25, COMPASS ONE S(545078) 1 SENGKANG MALL (1SM)"
NE16640E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"51 TAMPINES AVENUE 4 #B1-01, OUR TAMPINES HUB S(529684)"
NE16747J000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"218 SUMANG WALK #01-01, S(820218)"
NE16875P000,HAO MART,HAO MART PTE. LTD.,"487B TAMPINES STREET 45 #B1-123, S(521487)"
NE17023N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"258 PASIR RIS STREET 21 #02-10, LOYANG POINT S(510258)"
NE17098V000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"215C COMPASSVALE DRIVE #01-01, S(543215)"
NE17390X000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"878C TAMPINES AVENUE 8 #01-65, S(523878)"
NE17563L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"872C TAMPINES STREET 86 #02-01, S(523872)"
NE17700J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"660A EDGEDALE PLAINS #01-01, WATERWAY SUNDEW S(821660)"
NE18066E000,-,ISYMI PTE. LTD.,"183 JALAN PELIKAT #01-12, THE PROMENADE@PELIKAT S(537643)"
NE18169P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"681 PUNGGOL DRIVE #B1-01, S(820681)"
NE18339P000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"2 TAMPINES CENTRAL 5 #B1-08, CENTURY SQUARE S(529509)"
NE18406E000,J-MART JAPANESE FOOD MARKET,TANESEI RETAILING PTE. LTD.,"2 TAMPINES CENTRAL 5 #B1-06, CENTURY SQUARE S(529509)"
NE18529J000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"681 PUNGGOL DRIVE #01-09,#01-11,#01-10, S(820681)"
NE18667L000,HAO MART,HAO MART PTE. LTD.,"658 PUNGGOL EAST #01-01, S(820658)"
NE19271N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"231 SUMANG LANE #01-02, S(820231)"
NW04014P000,-,COLD STORAGE SINGAPORE (1983) PTE LTD,"102 YISHUN AVENUE 5 #01-125, S(760102)"
NW04127A000,-,NTUC FAIRPRICE CO-OPERATIVE LTD,"900 SOUTH WOODLANDS DRIVE #B1-01, WOODLANDS CIVIC CENTRE S(730900)"
NW06239N000,-,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)"
NW06546V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"511 CANBERRA ROAD #02-03, SEMBAWANG MART S(750511)"
NW07277P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"355 SEMBAWANG WAY #01-01, S(750355)"
NW07636K000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"406A SEMBAWANG DRIVE #01-02, MULTI STOREY CAR PARK S(751406)"
NW07726J000,MM SUNDRY SHOP,MM SUNDRY SHOP PTE. LTD.,"27 WOODLANDS SECTOR 1 #01-70, WOODLANDS DORMITORY S(738252)"
NW08020K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"70 WOODLANDS AVENUE 7 #01-05, ADMIRALTY MRT STATION S(738344)"
NW08141P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)"
NW08314K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"930 YISHUN AVENUE 2 #B1-06/07, NORTHPOINT S(769098)"
NW08385B000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"604 SEMBAWANG ROAD #B1-25, SEMBAWANG SHOPPING CENTRE S(758459)"
NW08477X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"36 HOLLAND DRIVE #01-03, S(270036)"
NW09331A000,AJMAL TRADE MART,AJMAL TRADE MART PTE. LTD.,"23 MANDAI ESTATE #01-21, S(729937)"
NW09437C000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"468B ADMIRALTY DRIVE #01-29, S(752468)"
NW10192C000,PHAN NEE TRADING,PHAN NEE TRADING LLP,"49 ADMIRALTY ROAD WEST, COCHRANE LODGE II S(757444)"
NW11384E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 WOODLANDS SQUARE #B1-31/32, CAUSEWAY POINT S(738099)"
NW11702X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"200 WOODLANDS INDUSTRIAL PARK E7 #01-30, WOODLANDS RECREATION CENTRE S(757177) INTERIM RECREATION PARK"
NW11767E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"1 WOODLANDS ROAD #01-07, THE TENNERY S(677899)"
NW12G73N000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"761 YISHUN STREET 72 #01-348, (#01-348-350-352 AND 354) S(760761) (#01-348-350-352 AND 354)"
NW13005P000,BHANDARI INTERNATIONAL,BHANDARI INTERNATIONAL PTE. LTD.,"50 WOODLANDS INDUSTRIAL PARK E4 #01-02, WOODLANDS LODGE ONE S(757388)"
NW13J23J000,BISMILLAH MINIMART,BISMILLAH MINIMART PTE. LTD.,"32 MANDAI ESTATE #01-02, S(729939)"
NW13K05E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"570B WOODLANDS AVENUE 1 #01-06, S(732570)"
NW14006E000,de esperto minimart,DE ESPERTO MINIMART PTE. LTD.,"190 WOODLANDS INDUSTRIAL PARK E7, S(757178)"
NW14040B000,FORTUNE SUPERMARKET,FORTUNE SUPERMARKET PTE. LTD.,"463 SEMBAWANG DRIVE #01-02, MULTI STOREY CAR PARK S(750463)"
NW14561E000,7SEVEN,7SEVEN PTE. LTD.,"51 NORTH COAST AVENUE #01-03, NORTH COAST LODGE S(756992)"
NW15186C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"547 SEGAR ROAD #01-06, MULTI STOREY CAR PARK S(670547)"
NW15220L000,FORTUNE SUPERMARKET,FORTUNE SUPERMARKET PTE. LTD.,"780 WOODLANDS CRESCENT #01-01, MULTI STOREY CAR PARK S(730780)"
NW15264K000,RYAN'S GROCERY,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)"
NW15295X000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)"
NW15489B000,AJMAL TRADING GROUP,AJMAL  TRADING GROUP PTE. LTD.,"2 WOODLANDS SECTOR 2 #01-05, WESTLITE WOODLANDS DORMITORY S(737723)"
NW15751L000,ASHA MINIMART,ASHA MINIMART PTE. LTD.,"11 MANDAI ESTATE #01-15,#01-16, ELDIX S(729908)"
NW16388B000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"18 YISHUN AVENUE 9 #02-06/10, JUNCTION NINE S(768897)"
NW16634L000,HAO MART,HAO MART PTE. LTD.,"205 PETIR ROAD #01-595, S(670205)"
NW16763X000,HAO MART,HAO MART PTE. LTD.,"505 CANBERRA LINK #01-01, MONTREAL SPRING S(750505)"
NW17024A000,-,SUN TRG & CON PTE. LTD.,"280 WOODLANDS INDUSTRIAL PARK E5 #01-24, HARVEST @ WOODLANDS S(757322)"
NW17097K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"17 PETIR ROAD #B2-67, HILLION MALL S(678278)"
NW17212X000,U Stars Supermarket,U STARS PTE. LTD.,"507 YISHUN AVENUE 4 #01-09, S(760507)"
NW17277E000,Maa Supermarket,MAA TRADING PTE. LTD.,"280 WOODLANDS INDUSTRIAL PARK E5 #01-47, HARVEST @ WOODLANDS S(757322)"
NW17310P000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"930 YISHUN AVENUE 2 #B1-05, NORTHPOINT SHOPPING CENTRE S(769098)"
NW17421C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"446 FAJAR ROAD #01-01, S(670446)"
NW17699N000,GREEN VENTURES,CUTECH GREEN VENTURES PTE. LTD.,"10 WOODLANDS INDUSTRIAL PARK E1, S(757733)"
NW17734V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"4 WOODLANDS STREET 12 #02-61, S(738623)"
NW17872B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 NORTHPOINT DRIVE #B2-103,#B2-106,#B2-104,#B2-107,#B2-105, NORTHPOINT CITY S(768019)"
NW17908L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"676 WOODLANDS DRIVE 71 #B1-02, S(730676)"
NW17990N000,U Stars Supermarket,U STARS PTE. LTD.,"691 WOODLANDS DRIVE 73 #01-06, S(730691)"
NW18021V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"105 CANBERRA STREET #02-05, S(750105)"
NW18091N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"29A GHIM MOH LINK #01-01, S(271029)"
NW18192E000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"598 YISHUN RING ROAD #01-01, WISTERIA MALL S(768698)"
NW18310J000,TASTY FARM,SONG FISH DEALER PTE LTD,"676 WOODLANDS DRIVE 71 #01-04, S(730676)"
NW18478E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"675 YISHUN AVENUE 4 #01-10, S(760675)"
NW18649C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"785E WOODLANDS RISE #01-01, S(735785)"
NW18778K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"573 WOODLANDS DRIVE 16 #02-01, S(730573)"
NW18A75V000,-,ANG MO SUPERMARKET PTE LTD,"260 ANG MO KIO STREET 21 #01-05, MULTI STOREY CAR PARK S(560260)"
NW18B29C000,ANG MO SUPERMARKET,ANG MO SUPERMARKET PTE LTD,"120 CANBERRA CRESCENT #01-10, MULTI STOREY CAR PARK S(750120)"
NW19066J000,RAJ AGRO TRADING,RAJ AGRO TRADING PTE. LTD.,"11 KRANJI CLOSE #01-17/18, S(737673)"
NW19111K000,AJMAL TRADING GROUP,AJMAL  TRADING GROUP PTE. LTD.,"11 KRANJI CLOSE #01-02/03, S(737673)"
NW19252J000,PRIME FOOD & GROCER,PRIME SUPERMARKET (1996) PTE LTD,"461 YISHUN AVENUE 6 #01-01,#01-02, MULTI STOREY CAR PARK S(760461)"
NW19637C000,YEO EXPRESS,YEO WHOLESALE AND TRADING PTE. LTD.,"443C FAJAR ROAD #01-70, FAJAR HILLS S(673443)"
S02021B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"510 BISHAN STREET 13 #01-520, S(570510)"
S02023V000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"9 BISHAN PLACE #B1-20, JUNCTION 8 SHOPPING CENTRE S(579837)"
S02024X000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"205 HOUGANG STREET 21 #01-133, HEARTLAND MALL- KOVAN (SUPERMARKET) S(530205)"
S02025P000,CHIN GUAN HIN MINIMART,LIM KING CHEW,"6 HOUGANG AVENUE 3 #01-82, S(530006)"
S02026N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"90 HOUGANG AVENUE 10 #B1-07, HOUGANG MALL S(538766)"
S02027L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"682 HOUGANG AVENUE 4 #01-310, S(530682)"
S02028K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"202 HOUGANG STREET 21 #01-00, S(530202)"
S02029J000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 HOUGANG STREET 91 #02-01, HOUGANG POINT S(538692)"
S02031V000,CHOP AH TAT MINI SUPERMARKET,TAN CHUAN BOON,"309 HOUGANG AVENUE 5 #01-293, S(530309)"
S02033P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"440 PASIR RIS DRIVE 4 #01-01, S(510440)"
S02034N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 PASIR RIS CENTRAL STREET 3 #B1-10, S(518457)"
S02036K000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"9 TAMPINES STREET 32 #01-30, S(529286)"
S02037J000,ONE SUPERMARKET,ONE SUPERMARKET PTE. LTD.,"201B TAMPINES STREET 21 #01-1091, S(522201)"
S02038E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"829 TAMPINES STREET 81 #01-284/8, S(520829)"
S02039C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"4 TAMPINES CENTRAL 5 #B1-12, TAMPINES MALL S(529510)"
S02040X000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"823 TAMPINES STREET 81 #01-160, S(520823)"
S02041P000,Prime Food & Grocer,PRIME SUPERMARKET (1996) PTE LTD,"2 TAMPINES CENTRAL 5 #B1-07, CENTURY SQUARE S(529509)"
S02048B000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"739A BEDOK RESERVOIR ROAD #01-01, MULTI STOREY CAR PARK S(471739)"
S02049A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"745 BEDOK RESERVOIR ROAD #01-3015, S(470745)"
S02051L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"192 LORONG 4 TOA PAYOH #01-672, S(310192)"
S02052K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"475 TAMPINES STREET 44 #01-145, S(520475)"
S02053J000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"107 TAMPINES STREET 11 #01-353/9, S(521107)"
S02054E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"11 RIVERVALE CRESCENT #03-01, RIVERVALE MALL S(545082)"
S02055C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"118 RIVERVALE DRIVE #01-08, RIVERVALE PLAZA S(540118)"
S02056B000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"301 UPPER THOMSON ROAD #03-25, THOMSON PLAZA S(574408)"
S02057A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"181 LORONG 4 TOA PAYOH #01-602, S(310181)"
S02058V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"200 UPPER THOMSON ROAD #B1-01, THOMSON IMPERIAL COURT S(574424)"
S02059X000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"106 HOUGANG AVENUE 1 #01-1213, S(530106)"
S02103A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"500 LORONG 6 TOA PAYOH, HDB HUB S(310500)"
S02127E000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"108 PUNGGOL FIELD #01-02, S(820108)"
S02151E000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"263 COMPASSVALE STREET #01-01, S(540263)"
S02169J000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"525 ANG MO KIO AVENUE 10 #01-2401, S(560525)"
S02185J000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"982 BUANGKOK CRESCENT #01-01, S(530982)"
S02204N000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"260 KIM KEAT AVENUE #01-01, S(310260)"
S02210X000,GIANT EXPRESS,COLD STORAGE SINGAPORE (1983) PTE LTD,"631 BEDOK RESERVOIR ROAD #01-954, S(470631)"
S91085V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"110 LENGKONG TIGA #01-233/5, S(410110)"
S93171X000,ang mo,ANG MO SUPERMARKET PTE LTD,"642 HOUGANG AVENUE 8 #01-197, S(530642)"
S94081C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"279 BISHAN STREET 24 #01-62/64, S(570279)"
S97079B000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"4 LORONG 7 TOA PAYOH #01-107, S(310004)"
S97166P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"21 HOUGANG STREET 51 #01-52, HOUGANG GREEN SHOPPING MALL S(538719)"
S98084K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"734 PASIR RIS STREET 72 #01-37, (PASIR RIS 734 NEW MARKET) S(510734)"
SCE19004X000,MURUGAN TRADERS,MURUGAN TRADERS PTE. LTD.,"88 DESKER ROAD, S(209610)"
SCE19007L000,HAO MART,HAO MART PTE. LTD.,"13 STAMFORD ROAD #B2-13,#B2-14,#B2-15,#B2-16,#B2-17,#B2-18,#B2-19,#B2-20,#B2-21, CAPITOL PIAZZA S(178905)"
SCE19016K000,The Iron Grocer,THE IRON GROCER PTE. LTD.,"225 LAVENDER STREET, (FIRST STOREY) S(338776) (FIRST STOREY)"
SCE19018E000,The Gourmet Pantry,"American Club, The","10 CLAYMORE HILL, AMERICAN CLUB S(229573)"
SCE19020X000,Jasons Deli By Cold Storage,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 ORCHARD TURN #B4-01, ION ORCHARD S(238801)"
SCE20024E000,Ryan's Grocery,RYAN'S GROCERY (GWC) PTE. LTD.,"1 KIM SENG PROMENADE #B1-144,#B1-145, GREAT WORLD CITY S(237994)"
SCE20032E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"2 SERANGOON ROAD #B1-06,#B1-07,#B1-08,#B1-09, TEKKA PLACE S(218227)"
SCE20035A000,Mmmm!,WATER TIGER TRADING PTE. LTD.,"238 THOMSON ROAD #01-79/80, NOVENA SQUARE S(307683)"
SCE20042B000,FORTUNE SUPERMARKET,FORTUNE SUPERMARKET PTE. LTD.,"233 LORONG 8 TOA PAYOH #01-260, TOA PAYOH EIGHT S(310233)"
SCE20053X000,PANDANOW,DELIVERY HERO STORES (SINGAPORE) PTE. LTD.,"265/267 OUTRAM ROAD, (265/267 OUTRAM ROAD) S(169059) (PART-OF)"
SCE20058J000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"106 BIDADARI PARK DRIVE #01-06, S(340106)"
SCE20059E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"455 SENGKANG WEST AVENUE #01-16, S(790455)"
SCE20061X000,AIM,HAO MART PTE. LTD.,"90 BRAS BASAH ROAD #B1-13,#B1-13A,#B1-14,#B1-14A,#B1-15,#B1-15A,#B1-16,#B1-16A,#B1-17,#B1-17A, ESPLANADE MRT STATION S(189562)"
SCE20063N000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"12 ALEXANDRA VIEW #01-18, ARTRA S(158736)"
SCE20072L000,Big Harvest Supermarket,BIG HARVEST SUPERMARKET PTE. LTD.,"279 BALESTIER ROAD #01-06, BALESTIER POINT S(329727)"
SCE20083E000,BOOTLE'S,BOOTLE'S PTE. LTD.,"733 HAVELOCK ROAD #01-00, S(169651) (735 & 737)"
SCE20090J000,CHOROK MARKET,CHOROK MARKET PTE. LTD.,"277 ORCHARD ROAD #B1-05, ORCHARD GATEWAY S(238858)"
SCE20097P000,FAMILY NEEDS,FAMILY NEEDS  CITYGATE PTE. LTD.,"371 BEACH ROAD #01-06,#01-07, CITY GATE S(199597)"
SCE20100P000,CHINESE INTERNATIONAL COMMODITY CITY,CHINESE INTERNATIONAL COMMODITY CITY PTE. LTD.,"1 PARK ROAD #04-63,#05-01, PEOPLE'S PARK COMPLEX S(059108)"
SCE20103K000,Meidi-Ya Supermarket,MEIDI-YA SINGAPORE CO (PTE) LTD,"9 RAFFLES BOULEVARD #02-26/36, MILLENIA WALK S(039596)"
SCE20105E000,Our Boss,OURBOSS PTE. LTD.,"19 SHELFORD ROAD #01-53, S(288408)"
SCE20118X000,-,TAM KAH SHARK'S FIN PTE. LTD.,"28 JALAN KELULUT, SELETAR HILLS ESTATE S(809045)"
SCE20119P000,Green Olive Group,GREEN OLIVE GROUP PTE. LTD.,"1 PARK ROAD #02-70, PEOPLE'S PARK COMPLEX S(059108)"
SCE21010K000,MB Supermart,MUOI MUOI TRADING,"3 ST. GEORGE'S ROAD #01-113, ST GEORGE'S WEST GARDENS S(320003)"
SCE21013C000,Atas Palate,ATAS PALATE PRIVATE LIMITED,"138 ROBINSON ROAD #03-10, OXLEY TOWER S(068906)"
SCE21019N000,JAPANHOLIC,JAPANHOLIC PTE. LTD.,"138 ROBINSON ROAD #02-36, OXLEY TOWER S(068906)"
SCE21023A000,MEATMAN,GROCER@EMPRESS PTE. LTD.,"17 JASMINE ROAD, ADELPHI PARK ESTATE S(576585) (1st Storey)"
SCE21026P000,Maturo,MATURO PTE. LTD.,"371 BEACH ROAD #B1-17, CITY GATE S(199597)"
SCE21033X000,Sol Mart,SOL MART PTE. LTD.,"10 SINARAN DRIVE #03-06,#03-07,#03-08, SQUARE 2 S(307506)"
SCE21048C000,SANKRANTI FRESH,CALIBER ESSENTIALS PTE. LTD.,"80 SYED ALWI ROAD #01-01, S(207659)"
SCE21051N000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"3 TEMASEK BOULEVARD #02-380,#02-381,#02-382,#02-383,#02-384,#02-385,#02-386,#02-387,#02-379, SUNTEC CITY MALL S(038983)"
SE04012L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"2 JOO CHIAT ROAD #01-1139, JOO CHIAT COMPLEX S(420002)"
SE04040C000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"1 UPPER ALJUNIED LANE #01-01, S(360001)"
SE04069A000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"209 NEW UPPER CHANGI ROAD #01-631, S(460209)"
SE04109X000,MCP FAIRMART,MCP FAIRMART PTE. LTD.,"89 BEDOK NORTH STREET 4 #01-107, S(460089)"
SE04130B000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"41 JALAN TIGA #01-05, S(390041)"
SE05117K000,FAIRPRICE,TEO BOBBY,"253 SERANGOON CENTRAL DRIVE #01-241, S(550253)"
SE06112L000,HAO MART,HAO MART PTE. LTD.,"15 SIGLAP ROAD #01-01, MANDARIN GARDENS S(448912)"
SE06125B000,HAO MART,HAO MART PTE. LTD.,"54 BAYSHORE ROAD #01-07-08, BAYSHORE PARK S(469979)"
SE06465L000,sing hiong market bakery,TAN PAK NANG,"387 UPPER ALJUNIED ROAD, S(367872)"
SE06616X000,Hoe Kee Huat Supermarket,LIN POH LING,"212 LORONG 8 TOA PAYOH #01-43/45, S(310212)"
SE07216L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"5 STADIUM WALK #B1-01, LEISURE PARK S(397693)"
SE07559P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"65 AIRPORT BOULEVARD #B2-10, CHANGI AIRPORT TERMINAL 3 S(819663)"
SE09608P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"56 MARINE TERRACE #01-259, S(440056)"
SE09706N000,-,NTUC FAIRPRICE CO-OPERATIVE LTD,"5 EUNOS CRESCENT #01-2619, S(400005)"
SE10564B000,FAIRPRICE XTRA,NTUC FAIRPRICE CO-OPERATIVE LTD,"23 SERANGOON CENTRAL #03-42, NEX S(556083)"
SE10579K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"23 SERANGOON CENTRAL #B2-44/45, NEX S(556083)"
SE11071C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"89 BEDOK NORTH STREET 4 #01-77/79, S(460089)"
SE11136C000,I-TEC SUPERMART,I-TEC SUPERMART PTE LTD,"498/500 GEYLANG ROAD, GREEN COURT S(389456)"
SE11317V000,EN FROZEN,EN FROZEN PTE. LTD.,"1 GEYLANG SERAI #01-198, S(402001)"
SE11505P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"291 JOO CHIAT ROAD #01-01, S(427543)"
SE11577E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"612-620 GEYLANG ROAD, S(389551)"
SE11799C000,ULTRAMART,CP MANAGEMENT SERVICES PRIVATE LIMITED,"80 TANAH MERAH COAST ROAD #01-02, CHANGI LODGE 2 S(498820)"
SE11947P000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"5 CHANGI BUSINESS PARK CENTRAL 1 #B1-08/11, CHANGI CITY POINT S(486038)"
SE11D22K000,Mmmm!,WATER TIGER INVESTMENTS PTE. LTD.,"5 CHANGI BUSINESS PARK CENTRAL 1 #B1-23, CHANGI CITY POINT S(486038)"
SE12D97J000,New Zealand Fresh,NEW ZEALAND FRESH PTE. LTD.,"201 TELOK KURAU ROAD #01-05, S(423910)"
SE12F88V000,SARATHI STORE,SARATHI STORES PTE. LTD.,"91 UPPER PAYA LEBAR ROAD, S(534821)"
SE12G19X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"8 CHANGI BUSINESS PARK AVENUE 1, UE BIZHUB EAST S(486018) #01-51 & #02-51"
SE13135L000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"311 NEW UPPER CHANGI ROAD #B2-60, BEDOK MALL S(467360)"
SE13S71X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"57 NEW UPPER CHANGI ROAD #01-1334, S(461057)"
