"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Singapore","SGP","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55515386262168","1.63429062173542","1.33199885633959","1.73958371761637","1.42499295137415","1.52375577581038","0.903638582903021","1.01046375100897","1.03458287235123","0.983239175576641","1.01144599155936","0.776446966549088","0.742196047973637","0.638839526705089","0.468340037816116","","0.378907511573953","0.38599643532292","0.558035483616285","0.399145509293704","0.367961085984856","0.302953187673441","0.204422798754396","0.310329150613598","0.251323870929754","0.247786821210127","0.315129746794999","0.19082357198481","0.154784478522063","0.204554578144537","0.169208474061906","0.100992070355116","","",
"Singapore","SGP","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Singapore","SGP","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","","63.1840782165527","","62.1890563964844","","57.7114410400391","56.2189064025879","59.1346168518066","59.6153831481934","41.8269233703613","44.711540222168","44.711540222168","47.3933639526367","48.8151664733887","52.582160949707","56.8075103759766","56.3380279541016","49.7536964416504","49.2610855102539","48.7684745788574","47.290641784668","50.970874786377","44.9275360107422","46.3768119812012","49.7584533691406","52.6570053100586","51.9607849121094",
"Singapore","SGP","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.139815583825111","","0.11250077188015","","0.130497083067894","","0.0586192682385445","-0.0210195183753967","0.0775112137198448","0.132438689470291","-0.387192517518997","-0.363209664821625","-0.33483549952507","-0.234220430254936","-0.208965808153152","-0.10202718526125","0.0530913695693016","0.0366793386638165","-0.0988200157880783","-0.161713510751724","-0.149904429912567","-0.168806582689285","-0.0758845582604408","-0.206006988883018","-0.203881621360779","-0.13955394923687","-0.0601325668394566","-0.0654119327664375",
"Singapore","SGP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109551455435","123694088415","99697714507","131632426274","132167663861","136470490579","143355891818","144947459770","138752871056","134940438968","146768997288","154892664515","150056312130","159939927691","192223598135","213832968911","197387649519",
"Singapore","SGP","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Singapore","SGP","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","12.7368253462824","","13.1401742138753","9.84588464903426","","","","","1.24198214061124","1.54069673586672","1.56874590300896","1.26071694742651","1.65922085981957","1.90841361242256","1.69871717978333","2.31643526351115","1.87774525813908","3.00851603551368","5.0518303911218","4.70452932684073","5.56844892737065","5.62991563737879","5.62670667064412","4.9459427457624","5.72706040585611","5.71362777818648","4.82565401859171","4.32120593603087","4.06936490070693","4.16687450690857","4.21920077671095","3.4988158897261","3.27399289611267","2.79346349532984","2.60541304293763","2.83576823771088","2.95746228820357","3.00318703708045","3.76791720554064","3.62745491859107","3.4062340929835","3.72083008635267","3.46420282065821","3.05806877861975","3.17564115859029","3.55341941492953","3.87064400899478","4.31361159036676","4.66567405182425","4.63553901020378","5.0523495733895","4.87511355081739","3.8688367281638","4.15969935706609","4.31994804603867","4.48454676670554","4.45282229708285","4.66111048581403","4.58045569417337","4.39597567328218","3.80874009983014","","","",
"Singapore","SGP","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","22.3425144616038","","9.03811700747513","7.10007402920789","","","","","44.0306250786065","41.7466825945178","35.4410611688796","36.3770317398008","32.3552630978511","27.3209071309663","26.2260135239342","25.9879703641248","21.508197512323","21.1326931207344","21.8478234182032","23.3915593790309","24.2365294189467","23.9454435122483","25.851423086043","26.3269302584001","24.1611858275041","23.5537019197493","22.8335910601241","23.1883066222134","23.9706881151131","24.0767852209574","23.312255315048","24.5926270318167","23.5936795848131","26.9052473361662","31.4226551943248","31.7089329960446","30.8515476115","30.1684348243946","27.2884976826939","29.0762102529463","31.1787486381351","31.3426684262801","32.6267260184157","38.755236852561","39.4056641336239","40.1079549094949","40.6979056981606","41.5502616244561","41.4363895725046","40.0535997289852","40.738576798406","41.7061781855198","42.7181405971381","43.0764569052315","43.7388224662879","43.4471868031178","41.6885666887319","43.0954129941049","42.7899345430374","42.7039707863874","40.5830891044812","","","",
"Singapore","SGP","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","0.238815475242796","","0.444801383826527","0.302846759539673","","","","","1.43220978493271","1.00474606915701","1.36052235832444","1.5514328139134","1.43653115146094","1.59293725950386","2.83896373625244","4.15120435034234","4.3817071754809","4.43341184997282","5.11350634682904","5.95094190562417","5.80273551522016","6.09748980754733","5.48730466509098","4.63703764425135","5.15532096471582","3.59433351601735","2.97024228677384","2.72451339539104","2.39131680807431","2.1311027604419","2.22878725606174","2.78278470858514","2.5164540040428","2.05989523891437","1.6456021423218","1.45051771251333","1.40744140516758","1.47421173342823","1.83443638581722","1.45274252427976","1.3540471473277","1.614765554151","1.65801571646475","1.51487341525429","1.53964299244616","2.26610232634124","1.90969273216293","1.95649990274519","2.22327519717032","2.17978034365559","1.83115236409773","1.79239574126224","1.96507237803286","2.22079932867995","2.24181587139408","2.2498834506301","2.12358923548454","1.70272325755465","1.5931201510536","1.90921955448966","1.66175663571724","","","",
"Singapore","SGP","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.97","52.22","51.4","47.75","47.89","15.88","14.46","34.14","34.24","33.62","34.08","28.33","27.91","29.25","29.54","32.4","32.8","32.02","29.57","29.3","33.7","34.71","32.68","",
