Year,Inflation Rate,Price Index (Base 2023)
1961,0.400000000000066,21.260027833257674
1962,0.419580419580313,21.34923074724335
1963,2.20519962859833,21.820023904390162
1964,1.72609584374285,22.19665843010754
1965,0.178611297164612,22.23630416965675
1966,2.00579451749492,22.68231873958522
1967,3.34280096132821,23.440543508463605
1968,0.655391120507335,23.594170749216737
1969,-0.273051879856944,23.529746422449342
1970,0.463352990732629,23.638772206209566
1971,1.76100628930823,24.05505247147616
1972,2.08075813761872,24.555579933284854
1973,19.6367305751765,29.377493005956104
1974,22.3684210526315,35.948774336235736
1975,2.53653156878948,36.860626345867246
1976,-1.84189298198422,36.18169305608729
1977,3.1639501438158,37.32646378557036
1978,4.87254381306427,39.14521208738985
1979,4.07646537536399,40.7409531042451
1980,8.52694319425858,44.214911032243606
1981,8.18202196816848,47.83258476610793
1982,3.916286779942,49.70584595980756
1983,1.19641076769694,50.30053205304556
1984,2.60098522167485,51.60884145816909
1985,0.480122911465361,51.856627330351586
1986,-1.38570336391442,51.138048301022344
1987,0.523306521949774,51.40565704297943
1988,1.52318519232631,52.188660399076134
1989,2.34545627195897,53.412722607657635
1990,3.46075338652822,55.261205214139075
1991,3.42570173078644,57.15428927761329
1992,2.26307118702852,58.447731530405875
1993,2.28929964388639,59.785775240191136
1994,3.10013262599504,61.63921356411637
1995,1.72053384788522,62.699737097057245
1996,1.38318052481877,63.5669876496963
1997,2.00358618538962,64.84060703271395
1998,-0.267502292876138,64.66715692218663
1999,0.0167098337370801,64.67796269659082
2000,1.36162392448454,65.55863331053679
2001,0.997197956155961,66.21238266199325
2002,-0.391676866585059,65.95304407629145
2003,0.507905300237541,66.28802308282293
2004,1.66272719863071,67.39021207205563
2005,0.425106276569129,67.6766920933672
2006,0.962901778165114,68.32835216493756
2007,2.10488003633211,69.76658200881202
2008,6.62778177352131,74.39055881520086
2009,0.596720257424944,74.83446234926278
2010,2.82366134885608,76.94753413824317
2011,5.2477933984048,80.98558175498518
2012,4.57560270376527,84.69116022342631
2013,2.35860415399832,86.6886894465254
2014,1.02514803039391,87.57737683896075
2015,-0.522618167075298,87.11968155735235
2016,-0.532268739716253,86.65597072628222
2017,0.576260310166349,87.15533469196716
2018,0.43862011844684,87.5376155242258
2019,0.565260568780326,88.03243114763477
2020,-0.181916666666634,87.87228548330539
2021,2.30485959040484,89.89761828257528
2022,6.12106004039418,95.40030547253609
2023,4.82146729476466,100.0
2024,2.5644360735180363,102.56443607351804
2025,2.5644360735180363,105.19463547078769
2026,2.5644360735180363,107.89228465020636
2027,2.5644360735180363,110.65911331831902
2028,2.5644360735180363,113.49689553888919
2029,2.5644360735180363,116.40745087041155
2030,2.5644360735180363,119.39264553279517
